"Chronic Absenteeism, 2019-20"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Chronically Absent",
"Berlin School District","=""0070011""","Eligible For Free Lunch",99,19.6
"Berlin School District","=""0070011""","Eligible For Reduced Lunch",8,9.6
"Berlin School District","=""0070011""","Not Eligible For Lunch",121,5.7
"Bethany School District","=""0080011""","Eligible For Free Lunch","*","*"
"Bethany School District","=""0080011""","Eligible For Reduced Lunch","*","*"
"Bethany School District","=""0080011""","Not Eligible For Lunch",16,5.2
"Bethel School District","=""0090011""","Eligible For Free Lunch",86,11.1
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",13,6.0
"Bethel School District","=""0090011""","Not Eligible For Lunch",88,4.2
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",147,14.6
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",15,7.6
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",46,6.6
"Bolton School District","=""0120011""","Eligible For Free Lunch",30,17.6
"Bolton School District","=""0120011""","Eligible For Reduced Lunch","*","*"
"Bolton School District","=""0120011""","Not Eligible For Lunch","*","*"
"Booker T. Washington Academy District","=""2950013""","Eligible For Free Lunch",52,23.5
"Booker T. Washington Academy District","=""2950013""","Eligible For Reduced Lunch","*","*"
"Booker T. Washington Academy District","=""2950013""","Not Eligible For Lunch","*","*"
"Bozrah School District","=""0130011""","Eligible For Free Lunch","*","*"
"Bozrah School District","=""0130011""","Eligible For Reduced Lunch",0,"*"
"Bozrah School District","=""0130011""","Not Eligible For Lunch","*","*"
"Branford School District","=""0140011""","Eligible For Free Lunch",82,10.1
"Branford School District","=""0140011""","Eligible For Reduced Lunch",15,8.5
"Branford School District","=""0140011""","Not Eligible For Lunch",87,5.1
"Brass City Charter School District","=""2900013""","Eligible For Free Lunch",23,14.8
"Brass City Charter School District","=""2900013""","Eligible For Reduced Lunch",0,0.0
"Brass City Charter School District","=""2900013""","Not Eligible For Lunch",7,6.3
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",3026,23.5
"Bridgeport School District","=""0150011""","Eligible For Reduced Lunch",135,9.9
"Bridgeport School District","=""0150011""","Not Eligible For Lunch",667,12.8
"Bristol School District","=""0170011""","Eligible For Free Lunch",740,19.9
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",46,11.2
"Bristol School District","=""0170011""","Not Eligible For Lunch",247,7.0
"Brookfield School District","=""0180011""","Eligible For Free Lunch",6,1.3
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch",0,0.0
"Brookfield School District","=""0180011""","Not Eligible For Lunch",7,0.3
"Brooklyn School District","=""0190011""","Eligible For Free Lunch",39,14.4
"Brooklyn School District","=""0190011""","Eligible For Reduced Lunch",7,10.6
"Brooklyn School District","=""0190011""","Not Eligible For Lunch",24,5.1
"Canaan School District","=""0210011""","Eligible For Free Lunch","*","*"
"Canaan School District","=""0210011""","Eligible For Reduced Lunch","*","*"
"Canaan School District","=""0210011""","Not Eligible For Lunch","*","*"
"Canterbury School District","=""0220011""","Eligible For Free Lunch",12,8.5
"Canterbury School District","=""0220011""","Eligible For Reduced Lunch","*","*"
"Canterbury School District","=""0220011""","Not Eligible For Lunch","*","*"
"Canton School District","=""0230011""","Eligible For Free Lunch","*","*"
"Canton School District","=""0230011""","Eligible For Reduced Lunch","*","*"
"Canton School District","=""0230011""","Not Eligible For Lunch",138,10.4
"Capital Preparatory Harbor School District","=""2970013""","Eligible For Free Lunch","*","*"
"Capital Preparatory Harbor School District","=""2970013""","Eligible For Reduced Lunch",0,0.0
"Capital Preparatory Harbor School District","=""2970013""","Not Eligible For Lunch","*","*"
"Capitol Region Education Council","=""2410014""","Eligible For Free Lunch",1136,27.3
"Capitol Region Education Council","=""2410014""","Eligible For Reduced Lunch",84,12.5
"Capitol Region Education Council","=""2410014""","Not Eligible For Lunch",339,12.2
"Chaplin School District","=""0240011""","Eligible For Free Lunch","*","*"
"Chaplin School District","=""0240011""","Eligible For Reduced Lunch",0,"*"
"Chaplin School District","=""0240011""","Not Eligible For Lunch","*","*"
"Cheshire School District","=""0250011""","Eligible For Free Lunch",69,14.9
"Cheshire School District","=""0250011""","Eligible For Reduced Lunch",8,5.8
"Cheshire School District","=""0250011""","Not Eligible For Lunch",201,5.7
"Chester School District","=""0260011""","Eligible For Free Lunch","*","*"
"Chester School District","=""0260011""","Eligible For Reduced Lunch",0,"*"
"Chester School District","=""0260011""","Not Eligible For Lunch","*","*"
"Clinton School District","=""0270011""","Eligible For Free Lunch",72,15.9
"Clinton School District","=""0270011""","Eligible For Reduced Lunch",19,15.6
"Clinton School District","=""0270011""","Not Eligible For Lunch",95,9.1
"Colchester School District","=""0280011""","Eligible For Free Lunch",71,17.0
"Colchester School District","=""0280011""","Eligible For Reduced Lunch",21,18.8
"Colchester School District","=""0280011""","Not Eligible For Lunch",83,5.0
"Colebrook School District","=""0290011""","Eligible For Free Lunch",0,"*"
"Colebrook School District","=""0290011""","Eligible For Reduced Lunch",0,"*"
"Colebrook School District","=""0290011""","Not Eligible For Lunch",0,0.0
"Columbia School District","=""0300011""","Eligible For Free Lunch","*","*"
"Columbia School District","=""0300011""","Eligible For Reduced Lunch","*","*"
"Columbia School District","=""0300011""","Not Eligible For Lunch",13,4.3
"Common Ground High School District","=""2680013""","Eligible For Free Lunch",30,22.6
"Common Ground High School District","=""2680013""","Eligible For Reduced Lunch","*","*"
"Common Ground High School District","=""2680013""","Not Eligible For Lunch","*","*"
"Connecticut Technical Education and Career System","=""9000016""","Eligible For Free Lunch",947,18.2
"Connecticut Technical Education and Career System","=""9000016""","Eligible For Reduced Lunch",101,11.6
"Connecticut Technical Education and Career System","=""9000016""","Not Eligible For Lunch",410,8.7
"Cooperative Educational Services","=""2430014""","Eligible For Free Lunch",74,29.8
"Cooperative Educational Services","=""2430014""","Eligible For Reduced Lunch",13,19.7
"Cooperative Educational Services","=""2430014""","Not Eligible For Lunch",54,14.7
"Cornwall School District","=""0310011""","Eligible For Free Lunch",0,"*"
"Cornwall School District","=""0310011""","Eligible For Reduced Lunch","*","*"
"Cornwall School District","=""0310011""","Not Eligible For Lunch","*","*"
"Coventry School District","=""0320011""","Eligible For Free Lunch",80,24.4
"Coventry School District","=""0320011""","Eligible For Reduced Lunch",12,16.7
"Coventry School District","=""0320011""","Not Eligible For Lunch",108,9.2
"Cromwell School District","=""0330011""","Eligible For Free Lunch","*","*"
"Cromwell School District","=""0330011""","Eligible For Reduced Lunch","*","*"
"Cromwell School District","=""0330011""","Not Eligible For Lunch",32,2.3
"Danbury School District","=""0340011""","Eligible For Free Lunch",758,14.1
"Danbury School District","=""0340011""","Eligible For Reduced Lunch",78,8.1
"Danbury School District","=""0340011""","Not Eligible For Lunch",445,8.3
"Darien School District","=""0350011""","Eligible For Free Lunch","*","*"
"Darien School District","=""0350011""","Eligible For Reduced Lunch","*","*"
"Darien School District","=""0350011""","Not Eligible For Lunch",237,5.2
"Deep River School District","=""0360011""","Eligible For Free Lunch","*","*"
"Deep River School District","=""0360011""","Eligible For Reduced Lunch",0,"*"
"Deep River School District","=""0360011""","Not Eligible For Lunch","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Eligible For Free Lunch","*","*"
"Derby School District","=""0370011""","Eligible For Free Lunch",132,19.7
"Derby School District","=""0370011""","Eligible For Reduced Lunch",12,11.4
"Derby School District","=""0370011""","Not Eligible For Lunch",47,10.2
"East Granby School District","=""0400011""","Eligible For Free Lunch",17,13.1
"East Granby School District","=""0400011""","Not Eligible For Lunch",37,5.3
"East Haddam School District","=""0410011""","Eligible For Free Lunch","*","*"
"East Haddam School District","=""0410011""","Eligible For Reduced Lunch","*","*"
"East Haddam School District","=""0410011""","Not Eligible For Lunch",49,6.8
"East Hampton School District","=""0420011""","Eligible For Free Lunch","*","*"
"East Hampton School District","=""0420011""","Eligible For Reduced Lunch","*","*"
"East Hampton School District","=""0420011""","Not Eligible For Lunch",71,4.9
"East Hartford School District","=""0430011""","Eligible For Free Lunch",739,20.1
"East Hartford School District","=""0430011""","Eligible For Reduced Lunch",56,12.8
"East Hartford School District","=""0430011""","Not Eligible For Lunch",200,8.3
"East Haven School District","=""0440011""","Eligible For Free Lunch",152,14.9
"East Haven School District","=""0440011""","Eligible For Reduced Lunch",30,16.0
"East Haven School District","=""0440011""","Not Eligible For Lunch",102,7.1
"East Lyme School District","=""0450011""","Eligible For Free Lunch",71,14.6
"East Lyme School District","=""0450011""","Eligible For Reduced Lunch",11,11.2
"East Lyme School District","=""0450011""","Not Eligible For Lunch",118,5.8
"East Windsor School District","=""0470011""","Eligible For Free Lunch",97,19.6
"East Windsor School District","=""0470011""","Eligible For Reduced Lunch",7,9.9
"East Windsor School District","=""0470011""","Not Eligible For Lunch",52,11.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible For Free Lunch",94,40.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible For Reduced Lunch",6,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Not Eligible For Lunch",59,"*"
"Eastford School District","=""0390011""","Eligible For Free Lunch","*","*"
"Eastford School District","=""0390011""","Not Eligible For Lunch","*","*"
"Easton School District","=""0460011""","Eligible For Free Lunch","*","*"
"Easton School District","=""0460011""","Eligible For Reduced Lunch","*","*"
"Easton School District","=""0460011""","Not Eligible For Lunch",50,6.5
"EdAdvance","=""2420014""","Eligible For Free Lunch",23,"*"
"EdAdvance","=""2420014""","Eligible For Reduced Lunch","*","*"
"EdAdvance","=""2420014""","Not Eligible For Lunch","*","*"
"Ellington School District","=""0480011""","Eligible For Free Lunch",76,19.3
"Ellington School District","=""0480011""","Eligible For Reduced Lunch",9,13.6
"Ellington School District","=""0480011""","Not Eligible For Lunch",134,6.2
"Elm City College Preparatory School District","=""2890013""","Eligible For Free Lunch",60,12.0
"Elm City College Preparatory School District","=""2890013""","Eligible For Reduced Lunch","*","*"
"Elm City College Preparatory School District","=""2890013""","Not Eligible For Lunch","*","*"
"Elm City Montessori School District","=""2910013""","Eligible For Free Lunch","*","*"
"Elm City Montessori School District","=""2910013""","Eligible For Reduced Lunch",0,"*"
"Elm City Montessori School District","=""2910013""","Not Eligible For Lunch","*","*"
"Enfield School District","=""0490011""","Eligible For Free Lunch",426,21.8
"Enfield School District","=""0490011""","Eligible For Reduced Lunch",40,13.7
"Enfield School District","=""0490011""","Not Eligible For Lunch",212,8.4
"Essex School District","=""0500011""","Eligible For Free Lunch","*","*"
"Essex School District","=""0500011""","Eligible For Reduced Lunch",0,"*"
"Essex School District","=""0500011""","Not Eligible For Lunch","*","*"
"Explorations District","=""2720013""","Eligible For Free Lunch",19,35.8
"Explorations District","=""2720013""","Eligible For Reduced Lunch",0,"*"
"Explorations District","=""2720013""","Not Eligible For Lunch",8,"*"
"Fairfield School District","=""0510011""","Eligible For Free Lunch",152,12.3
"Fairfield School District","=""0510011""","Eligible For Reduced Lunch",20,7.4
"Fairfield School District","=""0510011""","Not Eligible For Lunch",448,5.6
"Farmington School District","=""0520011""","Eligible For Free Lunch",93,15.6
"Farmington School District","=""0520011""","Eligible For Reduced Lunch",12,9.8
"Farmington School District","=""0520011""","Not Eligible For Lunch",130,3.9
"Franklin School District","=""0530011""","Eligible For Free Lunch","*","*"
"Franklin School District","=""0530011""","Eligible For Reduced Lunch",0,"*"
"Franklin School District","=""0530011""","Not Eligible For Lunch","*","*"
"Glastonbury School District","=""0540011""","Eligible For Free Lunch",80,12.2
"Glastonbury School District","=""0540011""","Eligible For Reduced Lunch",9,7.6
"Glastonbury School District","=""0540011""","Not Eligible For Lunch",173,3.5
"Granby School District","=""0560011""","Eligible For Free Lunch","*","*"
"Granby School District","=""0560011""","Eligible For Reduced Lunch","*","*"
"Granby School District","=""0560011""","Not Eligible For Lunch",67,4.4
"Great Oaks Charter School District","=""2940013""","Eligible For Free Lunch",66,19.0
"Great Oaks Charter School District","=""2940013""","Eligible For Reduced Lunch","*","*"
"Great Oaks Charter School District","=""2940013""","Not Eligible For Lunch","*","*"
"Greenwich School District","=""0570011""","Eligible For Free Lunch","*","*"
"Greenwich School District","=""0570011""","Eligible For Reduced Lunch",0,0.0
"Greenwich School District","=""0570011""","Not Eligible For Lunch","*","*"
"Griswold School District","=""0580011""","Eligible For Free Lunch",142,20.9
"Griswold School District","=""0580011""","Eligible For Reduced Lunch",19,13.4
"Griswold School District","=""0580011""","Not Eligible For Lunch",75,8.7
"Groton School District","=""0590011""","Eligible For Free Lunch",279,18.3
"Groton School District","=""0590011""","Eligible For Reduced Lunch",71,17.3
"Groton School District","=""0590011""","Not Eligible For Lunch",156,7.5
"Guilford School District","=""0600011""","Eligible For Free Lunch",48,14.5
"Guilford School District","=""0600011""","Eligible For Reduced Lunch",8,8.3
"Guilford School District","=""0600011""","Not Eligible For Lunch",161,5.7
"Hamden School District","=""0620011""","Eligible For Free Lunch",476,21.8
"Hamden School District","=""0620011""","Eligible For Reduced Lunch",45,12.4
"Hamden School District","=""0620011""","Not Eligible For Lunch",246,8.8
"Hampton School District","=""0630011""","Eligible For Free Lunch","*","*"
"Hampton School District","=""0630011""","Eligible For Reduced Lunch","*","*"
"Hampton School District","=""0630011""","Not Eligible For Lunch","*","*"
"Hartford School District","=""0640011""","Eligible For Free Lunch",4432,31.3
"Hartford School District","=""0640011""","Eligible For Reduced Lunch",59,14.2
"Hartford School District","=""0640011""","Not Eligible For Lunch",342,12.3
"Hartland School District","=""0650011""","Eligible For Free Lunch","*","*"
"Hartland School District","=""0650011""","Eligible For Reduced Lunch","*","*"
"Hartland School District","=""0650011""","Not Eligible For Lunch",10,8.5
"Hebron School District","=""0670011""","Eligible For Free Lunch","*","*"
"Hebron School District","=""0670011""","Eligible For Reduced Lunch","*","*"
"Hebron School District","=""0670011""","Not Eligible For Lunch",27,5.4
"Highville Charter School District","=""2860013""","Eligible For Free Lunch",37,17.7
"Highville Charter School District","=""2860013""","Eligible For Reduced Lunch",0,0.0
"Highville Charter School District","=""2860013""","Not Eligible For Lunch",14,12.1
"Integrated Day Charter School District","=""2640013""","Eligible For Free Lunch",10,8.6
"Integrated Day Charter School District","=""2640013""","Eligible For Reduced Lunch","*","*"
"Integrated Day Charter School District","=""2640013""","Not Eligible For Lunch","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible For Free Lunch",20,11.9
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible For Reduced Lunch","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Not Eligible For Lunch","*","*"
"Jumoke Academy District","=""2610013""","Eligible For Free Lunch","*","*"
"Jumoke Academy District","=""2610013""","Eligible For Reduced Lunch","*","*"
"Jumoke Academy District","=""2610013""","Not Eligible For Lunch",74,18.4
"Kent School District","=""0680011""","Eligible For Free Lunch","*","*"
"Kent School District","=""0680011""","Eligible For Reduced Lunch","*","*"
"Kent School District","=""0680011""","Not Eligible For Lunch",6,4.1
"Killingly School District","=""0690011""","Eligible For Free Lunch",218,21.1
"Killingly School District","=""0690011""","Eligible For Reduced Lunch",21,12.5
"Killingly School District","=""0690011""","Not Eligible For Lunch",98,8.8
"Learn","=""2450014""","Eligible For Free Lunch",222,20.9
"Learn","=""2450014""","Eligible For Reduced Lunch",14,7.5
"Learn","=""2450014""","Not Eligible For Lunch",55,7.4
"Lebanon School District","=""0710011""","Eligible For Free Lunch","*","*"
"Lebanon School District","=""0710011""","Eligible For Reduced Lunch","*","*"
"Lebanon School District","=""0710011""","Not Eligible For Lunch",46,7.1
"Ledyard School District","=""0720011""","Eligible For Free Lunch",91,17.3
"Ledyard School District","=""0720011""","Eligible For Reduced Lunch",17,9.6
"Ledyard School District","=""0720011""","Not Eligible For Lunch",136,8.3
"Lisbon School District","=""0730011""","Eligible For Free Lunch",7,6.3
"Lisbon School District","=""0730011""","Eligible For Reduced Lunch","*","*"
"Lisbon School District","=""0730011""","Not Eligible For Lunch","*","*"
"Litchfield School District","=""0740011""","Eligible For Free Lunch","*","*"
"Litchfield School District","=""0740011""","Eligible For Reduced Lunch","*","*"
"Litchfield School District","=""0740011""","Not Eligible For Lunch",37,5.7
"Madison School District","=""0760011""","Eligible For Free Lunch",11,16.7
"Madison School District","=""0760011""","Eligible For Reduced Lunch",0,0.0
"Madison School District","=""0760011""","Not Eligible For Lunch",97,3.9
"Manchester School District","=""0770011""","Eligible For Free Lunch",854,25.8
"Manchester School District","=""0770011""","Eligible For Reduced Lunch",53,12.5
"Manchester School District","=""0770011""","Not Eligible For Lunch",250,10.9
"Mansfield School District","=""0780011""","Eligible For Free Lunch","*","*"
"Mansfield School District","=""0780011""","Eligible For Reduced Lunch","*","*"
"Mansfield School District","=""0780011""","Not Eligible For Lunch",44,6.0
"Marlborough School District","=""0790011""","Eligible For Free Lunch","*","*"
"Marlborough School District","=""0790011""","Eligible For Reduced Lunch","*","*"
"Marlborough School District","=""0790011""","Not Eligible For Lunch",28,7.8
"Meriden School District","=""0800011""","Eligible For Free Lunch",943,17.6
"Meriden School District","=""0800011""","Eligible For Reduced Lunch",60,6.7
"Meriden School District","=""0800011""","Not Eligible For Lunch",92,5.2
"Middletown School District","=""0830011""","Eligible For Free Lunch",388,20.1
"Middletown School District","=""0830011""","Eligible For Reduced Lunch",23,10.1
"Middletown School District","=""0830011""","Not Eligible For Lunch",161,6.9
"Milford School District","=""0840011""","Eligible For Free Lunch",222,17.2
"Milford School District","=""0840011""","Eligible For Reduced Lunch",30,12.9
"Milford School District","=""0840011""","Not Eligible For Lunch",271,7.0
"Monroe School District","=""0850011""","Eligible For Free Lunch",31,11.1
"Monroe School District","=""0850011""","Eligible For Reduced Lunch",7,11.5
"Monroe School District","=""0850011""","Not Eligible For Lunch",113,4.1
"Montville School District","=""0860011""","Eligible For Free Lunch",115,15.4
"Montville School District","=""0860011""","Eligible For Reduced Lunch",12,6.9
"Montville School District","=""0860011""","Not Eligible For Lunch",50,4.6
"Naugatuck School District","=""0880011""","Eligible For Free Lunch",428,21.1
"Naugatuck School District","=""0880011""","Eligible For Reduced Lunch",38,15.8
"Naugatuck School District","=""0880011""","Not Eligible For Lunch",204,10.2
"New Beginnings Inc Family Academy District","=""2800013""","Eligible For Free Lunch",53,15.7
"New Beginnings Inc Family Academy District","=""2800013""","Eligible For Reduced Lunch","*","*"
"New Beginnings Inc Family Academy District","=""2800013""","Not Eligible For Lunch","*","*"
"New Britain School District","=""0890011""","Eligible For Free Lunch",2024,26.0
"New Britain School District","=""0890011""","Eligible For Reduced Lunch",79,14.1
"New Britain School District","=""0890011""","Not Eligible For Lunch",170,12.2
"New Canaan School District","=""0900011""","Eligible For Free Lunch","*","*"
"New Canaan School District","=""0900011""","Not Eligible For Lunch","*","*"
"New Fairfield School District","=""0910011""","Eligible For Free Lunch",51,19.3
"New Fairfield School District","=""0910011""","Eligible For Reduced Lunch",15,19.2
"New Fairfield School District","=""0910011""","Not Eligible For Lunch",171,9.6
"New Hartford School District","=""0920011""","Eligible For Free Lunch","*","*"
"New Hartford School District","=""0920011""","Eligible For Reduced Lunch","*","*"
"New Hartford School District","=""0920011""","Not Eligible For Lunch",8,2.4
"New Haven School District","=""0930011""","Eligible For Free Lunch",3305,25.6
"New Haven School District","=""0930011""","Eligible For Reduced Lunch",125,13.2
"New Haven School District","=""0930011""","Not Eligible For Lunch",637,11.7
"New London School District","=""0950011""","Eligible For Free Lunch",441,17.8
"New London School District","=""0950011""","Eligible For Reduced Lunch",27,9.0
"New London School District","=""0950011""","Not Eligible For Lunch",51,8.5
"New Milford School District","=""0960011""","Eligible For Free Lunch",185,17.0
"New Milford School District","=""0960011""","Eligible For Reduced Lunch",25,9.9
"New Milford School District","=""0960011""","Not Eligible For Lunch",175,7.0
"Newington School District","=""0940011""","Eligible For Free Lunch",150,14.3
"Newington School District","=""0940011""","Eligible For Reduced Lunch",22,9.5
"Newington School District","=""0940011""","Not Eligible For Lunch",139,5.2
"Newtown School District","=""0970011""","Eligible For Free Lunch",48,10.8
"Newtown School District","=""0970011""","Eligible For Reduced Lunch",8,6.4
"Newtown School District","=""0970011""","Not Eligible For Lunch",179,5.1
"Norfolk School District","=""0980011""","Eligible For Free Lunch","*","*"
"Norfolk School District","=""0980011""","Not Eligible For Lunch","*","*"
"North Branford School District","=""0990011""","Eligible For Free Lunch","*","*"
"North Branford School District","=""0990011""","Eligible For Reduced Lunch","*","*"
"North Branford School District","=""0990011""","Not Eligible For Lunch",78,6.2
"North Canaan School District","=""1000011""","Eligible For Free Lunch","*","*"
"North Canaan School District","=""1000011""","Eligible For Reduced Lunch","*","*"
"North Canaan School District","=""1000011""","Not Eligible For Lunch",13,11.1
"North Haven School District","=""1010011""","Eligible For Free Lunch",93,18.2
"North Haven School District","=""1010011""","Eligible For Reduced Lunch",17,14.3
"North Haven School District","=""1010011""","Not Eligible For Lunch",166,6.6
"North Stonington School District","=""1020011""","Eligible For Free Lunch","*","*"
"North Stonington School District","=""1020011""","Eligible For Reduced Lunch","*","*"
"North Stonington School District","=""1020011""","Not Eligible For Lunch",45,8.3
"Norwalk School District","=""1030011""","Eligible For Free Lunch",916,15.4
"Norwalk School District","=""1030011""","Eligible For Reduced Lunch",109,11.0
"Norwalk School District","=""1030011""","Not Eligible For Lunch",397,8.7
"Norwich Free Academy District","=""9010022""","Eligible For Free Lunch",294,30.4
"Norwich Free Academy District","=""9010022""","Eligible For Reduced Lunch",28,14.1
"Norwich Free Academy District","=""9010022""","Not Eligible For Lunch",158,14.5
"Norwich School District","=""1040011""","Eligible For Free Lunch",297,15.1
"Norwich School District","=""1040011""","Eligible For Reduced Lunch",14,7.6
"Norwich School District","=""1040011""","Not Eligible For Lunch",131,11.4
"Odyssey Community School District","=""2630013""","Eligible For Free Lunch","*","*"
"Odyssey Community School District","=""2630013""","Eligible For Reduced Lunch","*","*"
"Odyssey Community School District","=""2630013""","Not Eligible For Lunch",13,7.0
"Old Saybrook School District","=""1060011""","Eligible For Free Lunch",37,16.4
"Old Saybrook School District","=""1060011""","Eligible For Reduced Lunch",9,13.2
"Old Saybrook School District","=""1060011""","Not Eligible For Lunch",108,12.8
"Orange School District","=""1070011""","Eligible For Free Lunch",20,14.5
"Orange School District","=""1070011""","Eligible For Reduced Lunch",6,18.8
"Orange School District","=""1070011""","Not Eligible For Lunch",43,4.2
"Oxford School District","=""1080011""","Eligible For Free Lunch",61,29.5
"Oxford School District","=""1080011""","Eligible For Reduced Lunch",6,15.4
"Oxford School District","=""1080011""","Not Eligible For Lunch",114,7.8
"Park City Prep Charter School District","=""2830013""","Eligible For Free Lunch",22,9.1
"Park City Prep Charter School District","=""2830013""","Eligible For Reduced Lunch","*","*"
"Park City Prep Charter School District","=""2830013""","Not Eligible For Lunch","*","*"
"Plainfield School District","=""1090011""","Eligible For Free Lunch",224,22.6
"Plainfield School District","=""1090011""","Eligible For Reduced Lunch",29,15.8
"Plainfield School District","=""1090011""","Not Eligible For Lunch",76,9.0
"Plainville School District","=""1100011""","Eligible For Free Lunch",120,16.5
"Plainville School District","=""1100011""","Eligible For Reduced Lunch",26,15.8
"Plainville School District","=""1100011""","Not Eligible For Lunch",98,7.2
"Plymouth School District","=""1110011""","Eligible For Free Lunch",80,16.4
"Plymouth School District","=""1110011""","Eligible For Reduced Lunch",18,16.1
"Plymouth School District","=""1110011""","Not Eligible For Lunch",59,8.5
"Pomfret School District","=""1120011""","Eligible For Free Lunch","*","*"
"Pomfret School District","=""1120011""","Eligible For Reduced Lunch","*","*"
"Pomfret School District","=""1120011""","Not Eligible For Lunch",17,5.9
"Portland School District","=""1130011""","Eligible For Free Lunch",60,19.3
"Portland School District","=""1130011""","Eligible For Reduced Lunch",6,11.3
"Portland School District","=""1130011""","Not Eligible For Lunch",50,5.4
"Preston School District","=""1140011""","Eligible For Free Lunch",19,19.8
"Preston School District","=""1140011""","Eligible For Reduced Lunch","*","*"
"Preston School District","=""1140011""","Not Eligible For Lunch","*","*"
"Putnam School District","=""1160011""","Eligible For Free Lunch",106,18.6
"Putnam School District","=""1160011""","Eligible For Reduced Lunch",17,20.5
"Putnam School District","=""1160011""","Not Eligible For Lunch",31,7.5
"Redding School District","=""1170011""","Eligible For Free Lunch","*","*"
"Redding School District","=""1170011""","Eligible For Reduced Lunch","*","*"
"Redding School District","=""1170011""","Not Eligible For Lunch",39,5.5
"Regional School District 01","=""2010012""","Eligible For Free Lunch",29,23.6
"Regional School District 01","=""2010012""","Eligible For Reduced Lunch","*","*"
"Regional School District 01","=""2010012""","Not Eligible For Lunch","*","*"
"Regional School District 04","=""2040012""","Eligible For Free Lunch","*","*"
"Regional School District 04","=""2040012""","Eligible For Reduced Lunch","*","*"
"Regional School District 04","=""2040012""","Not Eligible For Lunch",57,8.4
"Regional School District 05","=""2050012""","Eligible For Free Lunch",33,14.6
"Regional School District 05","=""2050012""","Eligible For Reduced Lunch",6,9.7
"Regional School District 05","=""2050012""","Not Eligible For Lunch",121,6.3
"Regional School District 06","=""2060012""","Eligible For Free Lunch",25,15.7
"Regional School District 06","=""2060012""","Eligible For Reduced Lunch",6,11.8
"Regional School District 06","=""2060012""","Not Eligible For Lunch",57,8.9
"Regional School District 07","=""2070012""","Eligible For Free Lunch",33,21.9
"Regional School District 07","=""2070012""","Eligible For Reduced Lunch",9,16.4
"Regional School District 07","=""2070012""","Not Eligible For Lunch",70,8.5
"Regional School District 08","=""2080012""","Eligible For Free Lunch","*","*"
"Regional School District 08","=""2080012""","Eligible For Reduced Lunch","*","*"
"Regional School District 08","=""2080012""","Not Eligible For Lunch",68,5.7
"Regional School District 09","=""2090012""","Eligible For Free Lunch","*","*"
